target,k_calibration,model,metric,pooled_rmse,pooled_residual_rmse,pooled_lift_vs_stimulus_rmse,pooled_lift_vs_stimulus_residual_rmse,pearson,ccc,subjects,mean_improvement_stimulus_minus_model,median_improvement_stimulus_minus_model,ci95_low_mean_improvement,ci95_high_mean_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,ties,win_margin,sign_test_p_one_sided_wins_gt_losses,passes_confirmatory_metric
arousal,4,stimulus_plus_fewshot_bias_shrink4,residual_rmse,1.8063047413980169,1.8063047413980169,0.1377860081538895,0.1377860081538895,0.6957376491633186,0.6520875798890854,63,0.11964351641641703,0.019884403311341448,0.05835232737271715,0.19042820461795246,0.00014999250037498125,35,28,0,7,0.22498126814511124,True
arousal,8,stimulus_only,rmse,1.9438251041129735,1.9438251041129735,0.0,0.0,0.6344543858286329,0.579597480747134,63,0.00017847142386707298,0.0003329886179086472,-0.0018400671360576067,0.002194875386117171,0.43342832858357083,32,31,0,1,0.5,False
arousal,8,stimulus_only,residual_rmse,1.9438251041129735,1.9438251041129735,0.0,0.0,0.6344543858286329,0.579597480747134,63,0.00017847142386707298,0.0003329886179086472,-0.0018580327076701583,0.00219158274565753,0.4325783710814459,32,31,0,1,0.5,False
arousal,8,stimulus_plus_fewshot_bias,rmse,1.7932746420332188,1.7932746420332188,0.1505504620797548,0.1505504620797548,0.7057146012617733,0.686089045179178,63,0.13876922358318494,-0.02793219528988855,0.04874733640990027,0.24196520157664125,0.0022998850057497125,28,35,0,-7,0.8432484733517736,False
arousal,8,stimulus_plus_fewshot_bias,residual_rmse,1.7932746420332188,1.7932746420332188,0.1505504620797548,0.1505504620797548,0.7057146012617733,0.686089045179178,63,0.13876922358318494,-0.02793219528988855,0.047509816623522334,0.24343417783639573,0.0018499075046247689,28,35,0,-7,0.8432484733517736,False
arousal,8,stimulus_plus_fewshot_bias_shrink4,rmse,1.7650944930829875,1.7650944930829875,0.178730611029986,0.178730611029986,0.7121593337212493,0.6733426778961171,63,0.1619276448554219,0.020452376141273376,0.08504940799448545,0.24732102923433957,4.999750012499375e-05,37,26,0,11,0.10368394992842711,True
arousal,8,stimulus_plus_fewshot_bias_shrink4,residual_rmse,1.7650944930829875,1.7650944930829875,0.178730611029986,0.178730611029986,0.7121593337212493,0.6733426778961171,63,0.1619276448554219,0.020452376141273376,0.08605202388807512,0.24891207977119528,4.999750012499375e-05,37,26,0,11,0.10368394992842711,True
arousal,16,stimulus_only,rmse,1.9448068572403736,1.9448068572403736,0.0,0.0,0.6332518704088294,0.5785834833358812,63,-0.0006829825736214356,-0.0026837845813751926,-0.004081803389094929,0.0028833206133167624,0.6422678866056697,28,35,0,-7,0.8432484733517736,False
arousal,16,stimulus_only,residual_rmse,1.9448068572403736,1.9448068572403736,0.0,0.0,0.6332518704088294,0.5785834833358812,63,-0.0006829825736214356,-0.0026837845813751926,-0.004115156199168224,0.002889989398407481,0.6453677316134193,28,35,0,-7,0.8432484733517736,False
arousal,16,stimulus_plus_fewshot_bias,rmse,1.7416746921039263,1.7416746921039263,0.2031321651364472,0.2031321651364472,0.722204091014302,0.6979870852699787,63,0.1888770503038632,0.040376242808319196,0.09886989094265677,0.29380618508345924,4.999750012499375e-05,36,27,0,9,0.15675152664822642,True
arousal,16,stimulus_plus_fewshot_bias,residual_rmse,1.7416746921039263,1.7416746921039263,0.2031321651364472,0.2031321651364472,0.722204091014302,0.6979870852699787,63,0.1888770503038632,0.040376242808319196,0.09905422039181469,0.2909609634439454,4.999750012499375e-05,36,27,0,9,0.15675152664822642,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,rmse,1.7338282485895926,1.7338282485895926,0.210978608650781,0.210978608650781,0.723687823417833,0.6885848377843601,63,0.1949205839792886,0.04893278896015296,0.11075189387299318,0.29309747606354924,4.999750012499375e-05,37,26,0,11,0.10368394992842711,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,residual_rmse,1.7338282485895926,1.7338282485895926,0.210978608650781,0.210978608650781,0.723687823417833,0.6885848377843601,63,0.1949205839792886,0.04893278896015296,0.11028220829570357,0.29063811239587767,4.999750012499375e-05,37,26,0,11,0.10368394992842711,True
valence,1,stimulus_only,rmse,1.2577838096451095,1.2577838096451095,0.0,0.0,0.8663393648860659,0.8581077717150862,63,4.436449014827162e-06,-0.0002525805550896987,-0.0003355427222402567,0.00036475905541472997,0.48602569871506424,26,37,0,-11,0.9350410384887238,False
valence,1,stimulus_only,residual_rmse,1.2577838096451095,1.2577838096451095,0.0,0.0,0.8663393648860659,0.8581077717150862,63,4.436449014827162e-06,-0.0002525805550896987,-0.0003424666061764468,0.00036198429202948147,0.48932553372331383,26,37,0,-11,0.9350410384887238,False
valence,1,stimulus_plus_fewshot_bias,rmse,1.7213384605902775,1.7213384605902775,-0.463554650945168,-0.463554650945168,0.7672350170041368,0.7672240472445431,63,-0.45318275216025544,-0.45613383468480473,-0.48651877939631266,-0.42042980389916856,1.0,0,63,0,-63,1.0,False
valence,1,stimulus_plus_fewshot_bias,residual_rmse,1.7213384605902775,1.7213384605902775,-0.463554650945168,-0.463554650945168,0.7672350170041368,0.7672240472445431,63,-0.4531827521602554,-0.45613383468480473,-0.4869976475385956,-0.4203153003909725,1.0,0,63,0,-63,1.0,False
valence,1,stimulus_plus_fewshot_bias_shrink4,rmse,1.2669744938518324,1.2669744938518324,-0.0091906842067226,-0.0091906842067226,0.864299218698322,0.8568344763384228,63,-0.009000522449925758,-0.01823917426562649,-0.015447231593705072,-0.0019541040743868937,0.9937003149842508,18,45,0,-27,0.9998316453252669,False
valence,1,stimulus_plus_fewshot_bias_shrink4,residual_rmse,1.2669744938518324,1.2669744938518324,-0.0091906842067226,-0.0091906842067226,0.864299218698322,0.8568344763384228,63,-0.009000522449925743,-0.01823917426562649,-0.015384418574346064,-0.0017407283211926176,0.9925503724813759,18,45,0,-27,0.9998316453252669,False
valence,2,stimulus_only,rmse,1.257453354215383,1.257453354215383,0.0,0.0,0.8663500717962388,0.8581547584102205,63,0.00030073842120917924,0.0003752997239736544,-0.0003302888239657998,0.0009159105227246739,0.17309134543272836,33,30,0,3,0.4006532462520331,False
valence,2,stimulus_only,residual_rmse,1.257453354215383,1.257453354215383,0.0,0.0,0.8663500717962388,0.8581547584102205,63,0.00030073842120917924,0.0003752997239736544,-0.00031905418722076063,0.0009252730269658435,0.17634118294085296,33,30,0,3,0.4006532462520331,False
valence,2,stimulus_plus_fewshot_bias,rmse,1.4939840346714168,1.4939840346714168,-0.2365306804560338,-0.2365306804560338,0.8152448737565301,0.8139215448796634,63,-0.22976988963396633,-0.22927803662611446,-0.25527931557864153,-0.20349741804783594,1.0,4,59,0,-55,0.9999999999999954,False
valence,2,stimulus_plus_fewshot_bias,residual_rmse,1.4939840346714168,1.4939840346714168,-0.2365306804560338,-0.2365306804560338,0.8152448737565301,0.8139215448796634,63,-0.22976988963396627,-0.22927803662611446,-0.25524336198765024,-0.20325692927594718,1.0,4,59,0,-55,0.9999999999999954,False
valence,2,stimulus_plus_fewshot_bias_shrink4,rmse,1.2683005872002289,1.2683005872002289,-0.0108472329848459,-0.0108472329848459,0.8639776440324993,0.8568908765582657,63,-0.009975869830014736,-0.025622740385246257,-0.020040843969625313,0.001149713875849239,0.9619519024048797,20,43,0,-23,0.998886234244506,False
valence,2,stimulus_plus_fewshot_bias_shrink4,residual_rmse,1.2683005872002289,1.2683005872002289,-0.0108472329848459,-0.0108472329848459,0.8639776440324993,0.8568908765582657,63,-0.009975869830014734,-0.025622740385246257,-0.020095756773098043,0.001229993156296365,0.9639018049097545,20,43,0,-23,0.998886234244506,False
valence,4,stimulus_only,rmse,1.258215352491748,1.258215352491748,0.0,0.0,0.8662110250959163,0.8580139734729926,63,-0.00046819312923289456,-0.0005694455222740036,-0.0013918149055711221,0.0005103563504546518,0.8283585820708964,27,36,0,-9,0.8963160500715729,False
valence,4,stimulus_only,residual_rmse,1.258215352491748,1.258215352491748,0.0,0.0,0.8662110250959163,0.8580139734729926,63,-0.00046819312923289456,-0.0005694455222740036,-0.0013863121536501957,0.0004915235541940312,0.8305084745762712,27,36,0,-9,0.8963160500715729,False
valence,4,stimulus_plus_fewshot_bias,rmse,1.361331921425289,1.361331921425289,-0.1031165689335409,-0.1031165689335409,0.8440417539762937,0.8404788594308591,63,-0.09947564519056216,-0.11744226687747039,-0.12089426969644271,-0.07616568979739331,1.0,7,56,0,-49,0.9999999999918021,False
valence,4,stimulus_plus_fewshot_bias,residual_rmse,1.361331921425289,1.361331921425289,-0.1031165689335409,-0.1031165689335409,0.8440417539762937,0.8404788594308591,63,-0.09947564519056215,-0.11744226687747039,-0.12073696083650963,-0.07622669449171061,1.0,7,56,0,-49,0.9999999999918021,False
valence,4,stimulus_plus_fewshot_bias_shrink4,rmse,1.2649159601635964,1.2649159601635964,-0.0067006076718483,-0.0067006076718483,0.86482477034037,0.8579713986283323,63,-0.0063877286036279155,-0.029209146811488562,-0.02045297996455092,0.009145818496303675,0.7939103044847757,21,42,0,-21,0.9974238014789539,False
valence,4,stimulus_plus_fewshot_bias_shrink4,residual_rmse,1.2649159601635964,1.2649159601635964,-0.0067006076718483,-0.0067006076718483,0.86482477034037,0.8579713986283323,63,-0.006387728603627914,-0.029209146811488118,-0.02033591650622269,0.009218424327973047,0.7906104694765261,21,42,0,-21,0.9974238014789539,False
valence,8,stimulus_only,rmse,1.2583358727797729,1.2583358727797729,0.0,0.0,0.8661707413000348,0.8579942333720214,63,-0.0005874310976608977,-0.001802179596831266,-0.0021056244996317123,0.0009148445337071501,0.7723113844307785,30,33,0,-3,0.6926724921172691,False
valence,8,stimulus_only,residual_rmse,1.2583358727797729,1.2583358727797729,0.0,0.0,0.8661707413000348,0.8579942333720214,63,-0.0005874310976608977,-0.001802179596831266,-0.0021370707697180727,0.0009234169510912277,0.7731613419329033,30,33,0,-3,0.6926724921172691,False
valence,8,stimulus_plus_fewshot_bias,rmse,1.2923010639949146,1.2923010639949146,-0.0339651912151417,-0.0339651912151417,0.8590357019228587,0.8539017594692635,63,-0.03244831477977443,-0.06496035793532262,-0.051071089176052104,-0.011849505456550957,0.9987500624968751,18,45,0,-27,0.9998316453252669,False
valence,8,stimulus_plus_fewshot_bias,residual_rmse,1.2923010639949146,1.2923010639949146,-0.0339651912151417,-0.0339651912151417,0.8590357019228587,0.8539017594692635,63,-0.032448314779774445,-0.06496035793532262,-0.0509935970382365,-0.011768675307526857,0.9991500424978751,18,45,0,-27,0.9998316453252669,False
valence,8,stimulus_plus_fewshot_bias_shrink4,rmse,1.2558575842928597,1.2558575842928597,0.0024782884869132,0.0024782884869132,0.8668598978037443,0.860097631571544,63,0.0028929962148387636,-0.024620644014869297,-0.012931837424184961,0.020911829391650923,0.3794810259487026,22,41,0,-19,0.9944292962923474,False
valence,8,stimulus_plus_fewshot_bias_shrink4,residual_rmse,1.2558575842928597,1.2558575842928597,0.0024782884869132,0.0024782884869132,0.8668598978037443,0.860097631571544,63,0.00289299621483876,-0.024620644014869297,-0.013122444458037688,0.02075075872851005,0.37613119344032797,22,41,0,-19,0.9944292962923474,False
valence,16,stimulus_only,rmse,1.256590313996532,1.256590313996532,0.0,0.0,0.8667495380891578,0.8585340808776963,63,0.0008109924898803195,-0.000747192881030756,-0.0016188747620005453,0.0032910372541278326,0.2527873606319684,29,34,0,-5,0.7750187318548888,False
valence,16,stimulus_only,residual_rmse,1.256590313996532,1.256590313996532,0.0,0.0,0.8667495380891578,0.8585340808776963,63,0.0008109924898803195,-0.000747192881030756,-0.0016153138715753125,0.003220653809361304,0.25688715564221787,29,34,0,-5,0.7750187318548888,False
valence,16,stimulus_plus_fewshot_bias,rmse,1.2536685310437972,1.2536685310437972,0.0029217829527348,0.0029217829527348,0.867641597676001,0.8615403372248834,63,0.0050623521340373056,-0.021776222179928473,-0.01332653483777738,0.025540928834548532,0.3127843607819609,22,41,0,-19,0.9944292962923474,False
valence,16,stimulus_plus_fewshot_bias,residual_rmse,1.2536685310437972,1.2536685310437972,0.0029217829527348,0.0029217829527348,0.867641597676001,0.8615403372248834,63,0.0050623521340373194,-0.021776222179928473,-0.013184073077315936,0.025691057574879307,0.31633418329083546,22,41,0,-19,0.9944292962923474,False
valence,16,stimulus_plus_fewshot_bias_shrink4,rmse,1.2418476288448907,1.2418476288448907,0.0147426851516412,0.0147426851516412,0.8701577170244134,0.8633101348471538,63,0.016498685123133006,-0.0073826381250985396,-0.0010303550487346198,0.036279191175442774,0.04414779261036948,27,36,0,-9,0.8963160500715729,False
valence,16,stimulus_plus_fewshot_bias_shrink4,residual_rmse,1.2418476288448907,1.2418476288448907,0.0147426851516412,0.0147426851516412,0.8701577170244134,0.8633101348471538,63,0.01649868512313302,-0.0073826381250985396,-0.0008505020098762924,0.03595129824369711,0.04439778011099445,27,36,0,-9,0.8963160500715729,False
